country,candy,sales
ITA,blueberry bubblegum,3774120
RUS,butter cookies,8311693
RUS,dark chocolate bar,4253693
IND,white chocolate bar,786212
RUS,chocolate bar,881927
TUR,butter cookies,1008404
ARE,blueberry bubblegum,3613652
FRA,chocolate cookies,3341069
ITA,chocolate cookies,5101731
USA,lollipops,7998608
CHN,blueberry bubblegum,1443669
USA,caramel popcorn,7432423
ITA,butter cookies,8825808
GBR,blueberry bubblegum,2099096
DEU,butter cookies,9210657
CHN,caramel popcorn,7986756
CAN,blueberry bubblegum,6837200
MEX,butter cookies,3456397
USA,butter cookies,2467313
ITA,dark chocolate bar,4718864
FRA,white chocolate bar,808561
RUS,lollipops,8093548
ARE,chocolate bar,8996800
CAN,lollipops,4148671
CHN,dark chocolate bar,478772
DEU,caramel popcorn,2047407
IND,peanut butter pops,237121
SAU,white chocolate bar,8373726
CHN,lollipops,6574769
IND,white chocolate bar,390074
DEU,chocolate cookies,215291
MEX,white chocolate bar,9473916
ARE,chocolate bar,643835
USA,lollipops,4864580
IND,dark chocolate bar,2343631
SAU,blueberry bubblegum,8807409
ARE,chocolate bar,6176133
CAN,white chocolate bar,7940499
ARE,blueberry bubblegum,4773775
MEX,white chocolate bar,1276959
ITA,lollipops,1862679
GBR,white chocolate bar,1282373
ITA,dark chocolate bar,2799022
CAN,white chocolate bar,494945
TUR,butter cookies,9130199
USA,blueberry bubblegum,3698030
TUR,chocolate bar,1218160
CHN,blueberry bubblegum,5536902
MEX,blueberry bubblegum,8323637
USA,butter cookies,9262270
CHN,gummy bears,194201
CAN,gummy bears,8890772
CAN,butter cookies,6489369
CHN,chocolate bar,6673368
BRA,caramel popcorn,7532676
DEU,chocolate cookies,3397867
TUR,chocolate cookies,9645891
RUS,gummy bears,1112635
DEU,white chocolate bar,5189546
CHN,blueberry bubblegum,1459235
USA,dark chocolate bar,7803555
USA,blueberry bubblegum,8848482
BRA,lollipops,1777707
SAU,blueberry bubblegum,4823966
GBR,caramel popcorn,3898838
CAN,lollipops,4891043
ITA,chocolate bar,741253
TUR,chocolate cookies,6372245
ITA,peanut butter pops,9351020
ITA,chocolate cookies,5443181
CHN,butter cookies,7934709
RUS,blueberry bubblegum,4109227
TUR,chocolate cookies,3495459
ITA,blueberry bubblegum,5914249
TUR,caramel popcorn,1555756
BRA,white chocolate bar,1748717
BRA,white chocolate bar,7003624
RUS,peanut butter pops,4618236
RUS,caramel popcorn,3607888
BRA,peanut butter pops,3533897
TUR,chocolate cookies,2123934
RUS,blueberry bubblegum,6611770
CHN,blueberry bubblegum,8824262
ITA,dark chocolate bar,5992772
ARE,white chocolate bar,5944339
MEX,caramel popcorn,2355660
TUR,caramel popcorn,7730666
CAN,gummy bears,3200399
CAN,white chocolate bar,9306797
RUS,blueberry bubblegum,3611166
MEX,lollipops,5357855
FRA,butter cookies,6546261
CAN,lollipops,7941400
BRA,butter cookies,1385911
IND,peanut butter pops,3638981
CAN,chocolate cookies,9645684
USA,chocolate cookies,124375
IND,lollipops,7459255
CHN,chocolate bar,5253009
BRA,chocolate bar,7178701
ARE,chocolate cookies,1957178
FRA,dark chocolate bar,5695293
FRA,butter cookies,9791556
GBR,lollipops,7515231
RUS,white chocolate bar,6241726
SAU,butter cookies,3957600
CAN,peanut butter pops,9130273
TUR,butter cookies,815980
GBR,lollipops,9874513
IND,dark chocolate bar,1309141
IND,butter cookies,3842775
SAU,dark chocolate bar,169409
CHN,blueberry bubblegum,8592253
IND,peanut butter pops,5906076
BRA,dark chocolate bar,9716751
RUS,white chocolate bar,9209356
RUS,blueberry bubblegum,9437699
USA,chocolate bar,5230399
ARE,lollipops,8114140
RUS,gummy bears,2807625
CHN,butter cookies,7820066
GBR,lollipops,5892990
MEX,white chocolate bar,7654469
CAN,butter cookies,8494781
ITA,gummy bears,7891655
SAU,caramel popcorn,9905420
CHN,blueberry bubblegum,7806967
IND,chocolate bar,4179734
IND,caramel popcorn,5886756
BRA,chocolate bar,9142818
CAN,dark chocolate bar,8503902
CAN,peanut butter pops,6690025
RUS,chocolate cookies,7834770
ITA,chocolate cookies,3268080
BRA,blueberry bubblegum,6940030
ARE,butter cookies,6918084
RUS,chocolate bar,4988825
GBR,dark chocolate bar,4459100
SAU,blueberry bubblegum,4217692
USA,caramel popcorn,9931284
IND,blueberry bubblegum,5247249
FRA,chocolate bar,7868340
IND,dark chocolate bar,4616753
GBR,gummy bears,948916
DEU,lollipops,5858895
MEX,blueberry bubblegum,393869
ARE,butter cookies,1714377
ARE,lollipops,4004671
USA,white chocolate bar,4239936
MEX,butter cookies,6741713
TUR,white chocolate bar,7509334
GBR,chocolate cookies,5070572
RUS,chocolate cookies,6508044
ITA,chocolate bar,1672627
USA,chocolate bar,8697864
FRA,dark chocolate bar,1063783
CHN,white chocolate bar,6060330
GBR,white chocolate bar,3854371
IND,chocolate cookies,8012752
CAN,dark chocolate bar,211283
IND,butter cookies,6995571
ITA,lollipops,5547172
RUS,lollipops,736922
USA,butter cookies,8712859
BRA,caramel popcorn,1803872
ARE,gummy bears,8044409
ITA,dark chocolate bar,6913554
MEX,blueberry bubblegum,2898279
RUS,chocolate cookies,7951378
ITA,dark chocolate bar,9483258
ITA,gummy bears,2938278
SAU,white chocolate bar,4583868
DEU,dark chocolate bar,5597747
IND,lollipops,1379385
RUS,peanut butter pops,7300607
ARE,caramel popcorn,8425872
ITA,peanut butter pops,7116071
USA,chocolate bar,1999885
USA,dark chocolate bar,7300978
GBR,caramel popcorn,6551197
SAU,gummy bears,9580706
RUS,chocolate cookies,8451358
USA,lollipops,9503457
CHN,caramel popcorn,9745029
MEX,lollipops,4781989
IND,dark chocolate bar,4250595
GBR,peanut butter pops,6689619
GBR,caramel popcorn,1156147
CHN,gummy bears,6154912
USA,gummy bears,4427347
ITA,butter cookies,9812823
IND,chocolate bar,7513882
DEU,dark chocolate bar,3123404
BRA,gummy bears,3003764
RUS,blueberry bubblegum,437488
MEX,chocolate cookies,8007434
CAN,chocolate bar,1705883
SAU,dark chocolate bar,3491747
ITA,butter cookies,7439380
RUS,lollipops,4017378
USA,chocolate cookies,5955093
RUS,caramel popcorn,266884
RUS,peanut butter pops,7580436
BRA,white chocolate bar,3874101
FRA,white chocolate bar,4434904
DEU,gummy bears,1716742
FRA,butter cookies,4408648
ITA,chocolate bar,7337367
RUS,white chocolate bar,976929
BRA,blueberry bubblegum,485563
USA,white chocolate bar,3731196
ARE,butter cookies,6909529
MEX,lollipops,9963178
MEX,caramel popcorn,712369
TUR,peanut butter pops,2411375
RUS,caramel popcorn,2620037
TUR,butter cookies,6171282
IND,chocolate bar,2756603
MEX,lollipops,7016825
ARE,gummy bears,7618454
GBR,lollipops,6458352
IND,chocolate cookies,9918172
IND,chocolate cookies,4265728
GBR,white chocolate bar,7382915
BRA,peanut butter pops,3409924
GBR,peanut butter pops,4714350
GBR,caramel popcorn,6715659
DEU,chocolate cookies,4691912
SAU,peanut butter pops,6991403
CHN,lollipops,7026234
BRA,peanut butter pops,4625398
TUR,gummy bears,5151931
SAU,caramel popcorn,8700542
ITA,dark chocolate bar,4391459
MEX,caramel popcorn,9660543
FRA,blueberry bubblegum,8014545
CAN,butter cookies,3626781
MEX,chocolate bar,7155992
RUS,dark chocolate bar,1997648
TUR,lollipops,9990913
ITA,caramel popcorn,4336640
SAU,caramel popcorn,5318485
GBR,dark chocolate bar,3481327
SAU,caramel popcorn,1242222
SAU,chocolate bar,2313645
CHN,dark chocolate bar,2661174
RUS,gummy bears,3632495
SAU,butter cookies,410510
ITA,chocolate cookies,1537360
CHN,chocolate cookies,9050784
CHN,butter cookies,1535704
CHN,gummy bears,9319124
ITA,chocolate bar,2807167
SAU,gummy bears,5837854
TUR,lollipops,6248590
RUS,lollipops,1158449
USA,caramel popcorn,8329703
BRA,gummy bears,8819722
GBR,caramel popcorn,7828253
MEX,chocolate bar,2775846
FRA,caramel popcorn,561136
RUS,chocolate bar,4761941
TUR,blueberry bubblegum,6845132
RUS,lollipops,6545382
CHN,dark chocolate bar,3240571
CHN,peanut butter pops,6460948
GBR,white chocolate bar,6586319
BRA,blueberry bubblegum,8476824
GBR,gummy bears,4789906
ARE,chocolate cookies,9770427
CHN,white chocolate bar,6060774
SAU,white chocolate bar,9918035
ARE,butter cookies,9398694
BRA,blueberry bubblegum,3593296
CHN,butter cookies,9140438
RUS,caramel popcorn,3461823
GBR,chocolate bar,953662
BRA,gummy bears,977567
MEX,gummy bears,3699575
DEU,dark chocolate bar,4824408
MEX,peanut butter pops,5407422
CHN,peanut butter pops,7408616
CHN,peanut butter pops,1651397
RUS,caramel popcorn,5531039
FRA,chocolate bar,6399076
TUR,gummy bears,731624
RUS,lollipops,8028428
GBR,gummy bears,2121526
CHN,chocolate cookies,9313530
CHN,white chocolate bar,3266852
BRA,gummy bears,5733375
FRA,white chocolate bar,9007113
CHN,white chocolate bar,8661693
SAU,dark chocolate bar,7478155
CHN,blueberry bubblegum,5746886
CHN,butter cookies,677883
ARE,dark chocolate bar,4594598
MEX,blueberry bubblegum,5506002
GBR,white chocolate bar,4785769
GBR,chocolate cookies,3573032
SAU,chocolate cookies,4489600
CHN,dark chocolate bar,5311040
RUS,butter cookies,325115
CAN,white chocolate bar,2090465
ARE,chocolate bar,7381220
SAU,chocolate bar,9558336
DEU,caramel popcorn,4169406
SAU,butter cookies,6574439
BRA,caramel popcorn,4196243
BRA,peanut butter pops,1415500
ITA,dark chocolate bar,9018636
FRA,butter cookies,7509995
FRA,peanut butter pops,6235236
MEX,caramel popcorn,328301
ARE,caramel popcorn,3189078
SAU,blueberry bubblegum,3284364
RUS,caramel popcorn,4697496
CAN,blueberry bubblegum,7272951
BRA,blueberry bubblegum,8263198
DEU,chocolate bar,9068774
TUR,lollipops,435308
RUS,gummy bears,1118010
TUR,chocolate bar,6120305
SAU,chocolate bar,4736450
SAU,chocolate bar,1329240
TUR,blueberry bubblegum,2055611
ARE,dark chocolate bar,5764968
IND,butter cookies,381994
USA,dark chocolate bar,4266444
ARE,gummy bears,6756815
TUR,peanut butter pops,3207522
USA,white chocolate bar,5765005
USA,chocolate bar,1934098
GBR,chocolate bar,8125296
BRA,white chocolate bar,6257549
BRA,caramel popcorn,6175718
BRA,white chocolate bar,1058537
DEU,lollipops,9424830
GBR,peanut butter pops,159506
DEU,peanut butter pops,9753332
GBR,white chocolate bar,8819706
MEX,chocolate cookies,366440
CAN,blueberry bubblegum,3116964
CHN,gummy bears,3092439
MEX,peanut butter pops,7325358
CAN,caramel popcorn,7532912
DEU,lollipops,3671885
SAU,dark chocolate bar,2467367
SAU,chocolate cookies,375990
DEU,peanut butter pops,3846371
IND,lollipops,9218766
ARE,gummy bears,918957
SAU,blueberry bubblegum,3614850
GBR,chocolate bar,7950697
RUS,gummy bears,7635148
USA,dark chocolate bar,6168525
SAU,gummy bears,2495237
FRA,blueberry bubblegum,515737
SAU,chocolate cookies,3158639
GBR,peanut butter pops,5783925
RUS,dark chocolate bar,4467019
CHN,caramel popcorn,5389910
TUR,dark chocolate bar,5107185
DEU,butter cookies,3527283
SAU,caramel popcorn,984438
RUS,lollipops,4940970
IND,gummy bears,7761904
IND,white chocolate bar,7688427
RUS,butter cookies,5444210
TUR,butter cookies,4724616
ARE,gummy bears,2938983
MEX,lollipops,4508172
TUR,white chocolate bar,4014703
CAN,gummy bears,3244464
CAN,white chocolate bar,957249
IND,lollipops,5244905
GBR,blueberry bubblegum,1598804
BRA,gummy bears,4079035
FRA,chocolate bar,165044
MEX,butter cookies,7977152
BRA,gummy bears,9936210
SAU,gummy bears,3480015
ITA,peanut butter pops,3148611
GBR,white chocolate bar,5299604
TUR,chocolate bar,1181290
BRA,chocolate bar,2597763
CHN,butter cookies,928392
USA,chocolate bar,3225841
BRA,lollipops,9192484
IND,chocolate cookies,9502576
ARE,blueberry bubblegum,1719991
USA,lollipops,5478648
MEX,chocolate cookies,734460
GBR,gummy bears,936604
RUS,gummy bears,2075446
CHN,butter cookies,2260833
BRA,dark chocolate bar,7294291
DEU,dark chocolate bar,4972214
USA,dark chocolate bar,7045882
ITA,caramel popcorn,6256084
ITA,lollipops,1802010
MEX,gummy bears,8696820
ARE,dark chocolate bar,2688599
RUS,chocolate cookies,8597902
DEU,caramel popcorn,2353095
CHN,caramel popcorn,9255057
SAU,blueberry bubblegum,4568573
ARE,blueberry bubblegum,9398613
IND,caramel popcorn,1090746
RUS,blueberry bubblegum,9451907
BRA,peanut butter pops,7046171
GBR,dark chocolate bar,8988253
SAU,chocolate cookies,6146566
DEU,butter cookies,6893196
MEX,butter cookies,672580
FRA,white chocolate bar,6835488
USA,butter cookies,3964079
CAN,butter cookies,8562390
GBR,peanut butter pops,9392831
DEU,butter cookies,2375317
IND,butter cookies,8865898
MEX,blueberry bubblegum,1950469
USA,butter cookies,1449364
DEU,lollipops,3158489
MEX,chocolate cookies,6513999
ARE,gummy bears,5370349
FRA,lollipops,4388605
GBR,peanut butter pops,3934111
FRA,blueberry bubblegum,7614665
USA,chocolate bar,8473369
TUR,caramel popcorn,9281498
BRA,chocolate cookies,5086980
ARE,caramel popcorn,341448
TUR,white chocolate bar,7658970
FRA,white chocolate bar,4261950
CAN,chocolate cookies,507124
MEX,gummy bears,4163207
IND,peanut butter pops,3992675
MEX,gummy bears,2879550
MEX,chocolate bar,7727827
CHN,blueberry bubblegum,3600944
MEX,lollipops,5304938
BRA,butter cookies,8339521
MEX,dark chocolate bar,365601
USA,lollipops,7107669
ITA,lollipops,6330253
TUR,dark chocolate bar,5429009
USA,dark chocolate bar,1308413
ARE,dark chocolate bar,2454579
BRA,gummy bears,3089625
ITA,peanut butter pops,5378709
FRA,lollipops,8313164
CHN,chocolate cookies,3696705
FRA,dark chocolate bar,5913299
ITA,lollipops,1041209
DEU,white chocolate bar,6325086
TUR,blueberry bubblegum,862982
FRA,caramel popcorn,4133880
SAU,peanut butter pops,464430
ARE,butter cookies,7618372
IND,caramel popcorn,7709062
IND,lollipops,8789131
BRA,chocolate bar,6693304
ITA,white chocolate bar,5704017
TUR,peanut butter pops,1664791
DEU,gummy bears,2817655
GBR,white chocolate bar,7654492
USA,chocolate cookies,1073413
IND,chocolate cookies,2943453
ITA,dark chocolate bar,9453865
FRA,white chocolate bar,6467982
BRA,chocolate bar,4481624
CAN,caramel popcorn,8875736
ITA,gummy bears,796577
ARE,caramel popcorn,2403609
CAN,white chocolate bar,4169706
DEU,gummy bears,2586291
TUR,caramel popcorn,6177984
MEX,chocolate cookies,3146861
IND,chocolate cookies,8300111
TUR,caramel popcorn,9284660
ITA,white chocolate bar,9177651
FRA,blueberry bubblegum,7644451
CAN,chocolate bar,1180145
GBR,chocolate cookies,9347068
ARE,chocolate cookies,470391
CHN,peanut butter pops,3887227
RUS,lollipops,1893008
BRA,white chocolate bar,1516557
CHN,blueberry bubblegum,8201835
GBR,caramel popcorn,4876471
MEX,chocolate cookies,8025448
ARE,chocolate bar,4862677
TUR,chocolate cookies,1621808
BRA,lollipops,4595863
MEX,caramel popcorn,1533231
SAU,dark chocolate bar,8524405
CHN,blueberry bubblegum,1601698
ARE,butter cookies,5649171
DEU,blueberry bubblegum,7980995
GBR,butter cookies,4889102
CHN,blueberry bubblegum,2121751
RUS,butter cookies,4718340
CHN,lollipops,1951932
RUS,white chocolate bar,5271786
SAU,gummy bears,4240302
IND,dark chocolate bar,439662
ITA,chocolate bar,3084042
TUR,blueberry bubblegum,3456660
FRA,dark chocolate bar,7169430
SAU,caramel popcorn,9695072
SAU,chocolate bar,1549744
GBR,dark chocolate bar,6651310
GBR,white chocolate bar,2662973
FRA,lollipops,4582296
USA,blueberry bubblegum,4216715
BRA,caramel popcorn,3594496
IND,dark chocolate bar,560665
ITA,butter cookies,8788164
CAN,dark chocolate bar,7402167
CAN,dark chocolate bar,7667734
RUS,chocolate bar,1518054
SAU,caramel popcorn,8922072
MEX,butter cookies,2923833
GBR,lollipops,8306993
RUS,butter cookies,226950
FRA,chocolate bar,3431301
BRA,gummy bears,7138617
CHN,lollipops,8837616
ARE,peanut butter pops,1440827
CAN,caramel popcorn,9135180
ITA,chocolate cookies,212035
SAU,lollipops,9985270
MEX,blueberry bubblegum,9824570
DEU,butter cookies,2509680
TUR,white chocolate bar,6101528
IND,lollipops,7083325
SAU,lollipops,4506718
ITA,lollipops,292070
GBR,lollipops,8267154
MEX,chocolate cookies,3913440
TUR,chocolate bar,1745711
SAU,peanut butter pops,1900746
IND,dark chocolate bar,2502453
TUR,dark chocolate bar,6404074
ARE,lollipops,6656032
MEX,lollipops,696249
GBR,chocolate cookies,7172576
IND,peanut butter pops,4156600
USA,blueberry bubblegum,5963503
USA,gummy bears,1429585
IND,gummy bears,3475095
BRA,caramel popcorn,2506207
CAN,white chocolate bar,6825792
IND,lollipops,2833605
ARE,peanut butter pops,5841770
TUR,lollipops,5767624
RUS,butter cookies,9825729
TUR,gummy bears,2826070
GBR,peanut butter pops,8391145
USA,butter cookies,4440637
RUS,dark chocolate bar,3462222
USA,chocolate cookies,886123
SAU,lollipops,2320145
ARE,chocolate cookies,7356810
BRA,butter cookies,4107827
BRA,chocolate bar,7326938
ARE,white chocolate bar,4209581
CHN,caramel popcorn,3857453
TUR,butter cookies,641890
GBR,white chocolate bar,1036853
GBR,dark chocolate bar,848434
RUS,white chocolate bar,5481496
GBR,lollipops,5635694
RUS,dark chocolate bar,5085903
CHN,white chocolate bar,6930378
CAN,gummy bears,3450226
TUR,dark chocolate bar,8938149
TUR,chocolate cookies,5978520
CHN,lollipops,6468150
ARE,peanut butter pops,3271766
ARE,white chocolate bar,4417306
MEX,chocolate cookies,8652141
SAU,gummy bears,9755396
BRA,butter cookies,5014663
ITA,gummy bears,3743209
RUS,peanut butter pops,1581702
FRA,butter cookies,8513164
ARE,caramel popcorn,7408920
TUR,butter cookies,5068692
ARE,blueberry bubblegum,9468115
MEX,peanut butter pops,8976142
CHN,chocolate cookies,4193806
ITA,white chocolate bar,4488832
SAU,chocolate cookies,4285347
ARE,blueberry bubblegum,2944506
DEU,gummy bears,6066640
CAN,chocolate bar,7777827
ITA,lollipops,1906995
DEU,chocolate bar,5416904
SAU,dark chocolate bar,3405004
RUS,blueberry bubblegum,4650402
ARE,blueberry bubblegum,8616702
USA,chocolate cookies,8552895
CHN,dark chocolate bar,8703554
CHN,chocolate bar,6491370
GBR,chocolate bar,3317096
SAU,caramel popcorn,3987793
DEU,lollipops,2513573
FRA,gummy bears,3922520
ITA,chocolate bar,2891595
FRA,caramel popcorn,8149424
ARE,gummy bears,5509582
TUR,white chocolate bar,8089850
USA,caramel popcorn,4019810
GBR,dark chocolate bar,3411997
ARE,blueberry bubblegum,9067173
FRA,dark chocolate bar,9924083
RUS,lollipops,7900899
TUR,chocolate bar,9907924
ITA,blueberry bubblegum,3325319
MEX,butter cookies,8454577
CHN,dark chocolate bar,6964535
CAN,gummy bears,9129716
SAU,lollipops,4663054
CAN,chocolate cookies,7663135
CHN,lollipops,138862
IND,white chocolate bar,6226034
BRA,white chocolate bar,9798339
RUS,chocolate bar,2151738
BRA,dark chocolate bar,9501291
TUR,butter cookies,3623342
TUR,chocolate cookies,3362338
FRA,lollipops,9021326
MEX,chocolate bar,1099326
USA,blueberry bubblegum,4639686
FRA,blueberry bubblegum,7377001
MEX,butter cookies,2083014
TUR,white chocolate bar,6577604
RUS,chocolate cookies,846911
GBR,caramel popcorn,403070
DEU,dark chocolate bar,8458397
DEU,chocolate bar,8167853
MEX,chocolate cookies,8587806
ARE,caramel popcorn,418613
ITA,chocolate cookies,3720718
RUS,lollipops,6750535
RUS,blueberry bubblegum,9479048
MEX,peanut butter pops,9330341
CHN,peanut butter pops,4800015
MEX,caramel popcorn,7151645
CHN,gummy bears,4638632
ITA,lollipops,3512959
MEX,white chocolate bar,7567854
FRA,chocolate bar,4529445
FRA,chocolate bar,9742456
GBR,white chocolate bar,9119070
USA,blueberry bubblegum,9334644
ARE,gummy bears,9894667
ARE,gummy bears,9040156
DEU,blueberry bubblegum,6800631
FRA,gummy bears,274274
GBR,blueberry bubblegum,3317339
CAN,blueberry bubblegum,9932483
MEX,caramel popcorn,7646977
CAN,white chocolate bar,7862135
MEX,chocolate bar,4205321
USA,peanut butter pops,1527306
FRA,dark chocolate bar,7556333
BRA,white chocolate bar,1963329
IND,gummy bears,6261802
GBR,chocolate cookies,4595123
CHN,caramel popcorn,3388175
CHN,chocolate bar,3772781
GBR,lollipops,5527650
FRA,gummy bears,6591599
TUR,caramel popcorn,9857054
RUS,chocolate cookies,8891457
DEU,peanut butter pops,5990229
MEX,white chocolate bar,6043526
BRA,dark chocolate bar,7010934
CHN,dark chocolate bar,3448800
USA,peanut butter pops,4588968
BRA,dark chocolate bar,8973823
BRA,chocolate bar,1679287
CAN,caramel popcorn,8209135
GBR,butter cookies,8012752
SAU,lollipops,3755015
CAN,chocolate cookies,8006654
IND,dark chocolate bar,7948533
GBR,chocolate bar,4016603
CAN,blueberry bubblegum,7401465
DEU,peanut butter pops,1158606
SAU,gummy bears,2223097
IND,lollipops,8329132
MEX,dark chocolate bar,3099054
CHN,blueberry bubblegum,8421546
RUS,lollipops,2669984
USA,blueberry bubblegum,539872
FRA,gummy bears,8686751
CAN,butter cookies,6536540
SAU,gummy bears,8331162
SAU,butter cookies,5691722
CAN,peanut butter pops,197534
GBR,butter cookies,1700337
ARE,blueberry bubblegum,4177144
USA,chocolate bar,9296431
DEU,chocolate cookies,5478540
BRA,chocolate cookies,120561
SAU,white chocolate bar,1355396
DEU,gummy bears,1230339
BRA,gummy bears,6497903
DEU,dark chocolate bar,4151783
GBR,chocolate bar,8061442
GBR,lollipops,2221005
FRA,chocolate bar,9691456
CAN,peanut butter pops,324936
SAU,blueberry bubblegum,412526
ARE,blueberry bubblegum,3755768
FRA,peanut butter pops,7947476
CHN,chocolate cookies,2178155
FRA,peanut butter pops,2130320
BRA,chocolate cookies,8645801
ARE,chocolate cookies,518813
ARE,gummy bears,2638825
MEX,butter cookies,2634192
CHN,blueberry bubblegum,209433
ITA,butter cookies,5002286
RUS,butter cookies,862968
MEX,lollipops,3231381
FRA,gummy bears,7307889
MEX,gummy bears,8187733
USA,dark chocolate bar,3888773
ITA,peanut butter pops,5020326
ARE,gummy bears,3013274
GBR,lollipops,1913438
FRA,butter cookies,6212223
CAN,butter cookies,4015613
SAU,blueberry bubblegum,4199191
GBR,chocolate cookies,2524378
BRA,chocolate bar,5360400
TUR,chocolate cookies,3891534
CHN,butter cookies,3847623
IND,chocolate bar,3932205
USA,white chocolate bar,2656950
BRA,dark chocolate bar,3928684
CAN,peanut butter pops,538997
CAN,lollipops,1510926
TUR,white chocolate bar,9366774
FRA,caramel popcorn,388073
MEX,dark chocolate bar,2284025
BRA,lollipops,8781478
BRA,peanut butter pops,3936342
ITA,lollipops,8716560
TUR,butter cookies,8648453
MEX,chocolate cookies,7764180
BRA,peanut butter pops,7124278
GBR,butter cookies,1847734
MEX,peanut butter pops,3934537
RUS,gummy bears,1525749
DEU,gummy bears,1549311
TUR,butter cookies,2531652
GBR,caramel popcorn,8615399
ARE,lollipops,3496427
CAN,chocolate cookies,1907896
FRA,caramel popcorn,9775775
MEX,lollipops,2832172
RUS,lollipops,9035109
FRA,lollipops,5588277
ITA,caramel popcorn,7418414
CHN,dark chocolate bar,3360310
TUR,caramel popcorn,4532582
BRA,peanut butter pops,8394977
ITA,white chocolate bar,2260701
ITA,chocolate cookies,1167429
IND,dark chocolate bar,854995
TUR,chocolate bar,9276980
CHN,blueberry bubblegum,7105412
ARE,butter cookies,3495572
CHN,dark chocolate bar,5895218
SAU,chocolate cookies,1318570
CHN,chocolate bar,7763005
CHN,peanut butter pops,9621180
IND,blueberry bubblegum,6732782
IND,blueberry bubblegum,8609248
IND,dark chocolate bar,6140576
TUR,chocolate bar,8781983
BRA,peanut butter pops,9647054
DEU,white chocolate bar,6190770
ITA,dark chocolate bar,8931847
GBR,gummy bears,9340811
BRA,white chocolate bar,7748067
CAN,peanut butter pops,2398069
IND,blueberry bubblegum,7393674
USA,chocolate bar,3513618
TUR,chocolate bar,6648109
GBR,blueberry bubblegum,7412072
TUR,blueberry bubblegum,3303361
GBR,gummy bears,9840637
GBR,dark chocolate bar,7890366
IND,dark chocolate bar,5515151
DEU,butter cookies,2338028
BRA,butter cookies,6986396
TUR,white chocolate bar,6294503
DEU,dark chocolate bar,3863491
CHN,caramel popcorn,2174339
MEX,lollipops,5751925
TUR,peanut butter pops,9067861
BRA,white chocolate bar,6729507
TUR,blueberry bubblegum,1347145
RUS,peanut butter pops,6060789
CHN,dark chocolate bar,4385333
GBR,caramel popcorn,1757740
CHN,white chocolate bar,7931777
FRA,dark chocolate bar,6199652
GBR,caramel popcorn,3955929
ITA,white chocolate bar,5211651
MEX,gummy bears,7937882
ITA,chocolate cookies,6721294
GBR,caramel popcorn,3527133
TUR,chocolate cookies,6448196
CAN,gummy bears,3029331
ITA,chocolate bar,7426225
ARE,butter cookies,483231
ARE,chocolate cookies,2985344
ITA,blueberry bubblegum,9009674
GBR,peanut butter pops,6668940
RUS,caramel popcorn,8427886
ARE,chocolate cookies,6528245
CHN,butter cookies,3228812
ARE,dark chocolate bar,6455565
IND,chocolate bar,6675412
MEX,chocolate cookies,4658619
DEU,caramel popcorn,4289140
CHN,dark chocolate bar,170540
BRA,dark chocolate bar,6264218
USA,white chocolate bar,8159162
TUR,chocolate bar,3425506
TUR,lollipops,7343235
MEX,blueberry bubblegum,3855134
RUS,peanut butter pops,8786316
ARE,peanut butter pops,2443702
GBR,dark chocolate bar,446779
BRA,blueberry bubblegum,4371228
ARE,dark chocolate bar,7888703
USA,butter cookies,4415191
RUS,blueberry bubblegum,670242
TUR,peanut butter pops,4642621
USA,butter cookies,2122711
GBR,dark chocolate bar,6464743
BRA,white chocolate bar,9273507
FRA,butter cookies,5038330
IND,chocolate cookies,8122232
MEX,dark chocolate bar,4914622
RUS,gummy bears,4200783
CAN,lollipops,1554244
CHN,lollipops,4312886
DEU,chocolate bar,8838943
MEX,chocolate bar,1919530
CHN,blueberry bubblegum,7449590
BRA,gummy bears,7507130
DEU,chocolate cookies,1080760
TUR,gummy bears,9679897
ARE,chocolate bar,7709288
TUR,butter cookies,4186328
TUR,gummy bears,8675614
CAN,chocolate bar,5984736
MEX,dark chocolate bar,1974715
CHN,dark chocolate bar,7216282
ITA,butter cookies,4259281
MEX,butter cookies,6986161
GBR,blueberry bubblegum,7266300
USA,dark chocolate bar,2766928
FRA,white chocolate bar,7294386
GBR,lollipops,1281890
DEU,white chocolate bar,1137160
ITA,caramel popcorn,7219672
ITA,lollipops,8126817
GBR,white chocolate bar,259973
USA,butter cookies,1500450
FRA,chocolate bar,7906574
CHN,butter cookies,8383062
CAN,chocolate cookies,7055107
SAU,blueberry bubblegum,330461
BRA,white chocolate bar,9539062
ITA,chocolate cookies,2681135
ARE,lollipops,6367616
CAN,lollipops,8789859
GBR,chocolate bar,6575457
BRA,chocolate bar,6380245
GBR,peanut butter pops,9395453
SAU,butter cookies,6528290
MEX,gummy bears,6157973
RUS,chocolate cookies,8883709
ITA,caramel popcorn,8087427
IND,gummy bears,6390522
RUS,peanut butter pops,1092536
IND,caramel popcorn,8809247
ITA,chocolate bar,8935133
RUS,chocolate cookies,8771015
GBR,peanut butter pops,7950322
CHN,lollipops,5575315
CHN,caramel popcorn,5220999
IND,blueberry bubblegum,7962262
TUR,caramel popcorn,8182239
ITA,peanut butter pops,7436078
ITA,lollipops,4773668
ARE,caramel popcorn,929921
RUS,peanut butter pops,1285320
BRA,gummy bears,9659334
FRA,gummy bears,6186957
BRA,butter cookies,3099730
MEX,chocolate cookies,5648182
RUS,gummy bears,2609771
TUR,peanut butter pops,2204824
RUS,lollipops,6775690
